cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22
173,Savez,Vezou,Avez,Lavergne,,,,,,,,,,,,,,,,,,,
174,Portier,lesofficiers,Canonniers,fier,Thiers,Tiers,quartier Breda,Poitiers,,,,,,,,,,,,,,,
175,Comines,Aumônes,cémoines,cines,Line,,,,,,,,,,,,,,,,,,
176,la Tournelle,Tournez,Letourneur,Tournelle,,,,,,,,,,,,,,,,,,,
177,Passe,Hortense Bassin,Rossini,Impossible,vessie,Assis,Missile,,,,,,,,,,,,,,,,
178,rue Saint-Dominique,rue Saint-Victor,sinthe,rue Saint-Jacques,rue Saint-Anne,rue Saint-Hyacinthe,rue Saint-Honoré,,,,,,,,,,,,,,,,
179,Foire,Irez,retirez,Empire,Le Vicaire,SiRe,cachemire,l'Empire,,,,,,,,,,,,,,,
180,SiOn,Gionalé,Summa division personarum,Sion,Albion,Religion,,,,,,,,,,,,,,,,,
181,Irlandais,languir,commanderas ton ca,Normandes,Bande avenue,Hollande,Guirlande,Inde,In,,,,,,,,,,,,,,
182,Fromanteau,Jante,rue Fromanteau,Mante,s’endormant,Quarante,Mdivertissante,Jant,,,,,,,,,,,,,,,
183,Caverne-des- Brigands,Notre-Dame-des-Victoires,Dame-des-Victoires,,,,,,,,,,,,,,,,,,,,
184,gorge-de-pigeon,esprit-de-vin,Reprit,,,,,,,,,,,,,,,,,,,,
185,Arroux,Carrousel,"place du
Carrousel",Carousel,place du Carrousel,,,,,,,,,,,,,,,,,,
186,L'Andalouse,L’,Anda-,Andalouse,,,,,,,,,,,,,,,,,,,
187,rue Transnonain,e Tronche,hôtel de la rue Tronche,Boutron,rue Tronche,,,,,,,,,,,,,,,,,,
188,de France,affranchiront,Collège de France,Franks,La France,ru-,Franchir,la France,créances,Crancé,France,Sois france,,,,,,,,,,,
189,Chinois,Bains-Chinois,chine,"la-
chine",Chine,,,,,,,,,,,,,,,,,,
190,Séné-,Sénégal,notre Sénécal !,Sénécal,porte Sénécal,,,,,,,,,,,,,,,,,,
191,Apport,Oppos-,Hippodrome,Oppo=,,,,,,,,,,,,,,,,,,,
192,Canalïlle,Cancane,Toscane,Mostaganem,,,,,,,,,,,,,,,,,,,
193,"di

Un",rue Caumartin,Margot,arTificiel,Novartis,Alpes,Martinon,,,,,,,,,,,,,,,,
194,Bertinaux,Berlin,rue Joubert,Liban,Liberté,Gymnase,,,,,,,,,,,,,,,,,
195,Chiffres,Fanfares,Restez,Sèvres,Hâvre,,,,,,,,,,,,,,,,,,
196,"République b

me paraît vieille",notre République,République b,République !,République,,,,,,,,,,,,,,,,,,
197,"au-
tre","au-
res","au-
re",un@,,,,,,,,,,,,,,,,,,,
198,rue de Laval,pont de la Boucherie,collège de Sens,rue de la Paix,seuil de la lorette,rue de l’Arcade,statue de la Liberté,Cygne de la Croix,rue de l'Empereur,bêtise de la Ligne,porte de l'Alhambra,rue de la Ferme,Art et de la Nature !,re=,rue de la Harpe,"tic-tac de la
pendule",rue de la Ferme et de la rue Tronche,Fables de Lacham-,,,,,
199,Bordeaux,Bordelaise,delan,Bordes,Bordelais,,,,,,,,,,,,,,,,,,
200,bois de Crancé,Cerfs,Mn DE dé,Vénus de Milo,"Don Juan

de Molière",Vénus,,,,,,,,,,,,,,,,,
201,Conférence,"rue
de Provence",Régence,Providence,Rience,"LA
Providence",Provençaux,,,,,,,,,,,,,,,,
202,galerie d'Orléans,Orléans,bannissement des d'Orléans,,,,,,,,,,,,,,,,,,,,
203,pont de la Concorde,place de la Bourse,place de la Conæ,place de la Concorde,,,,,,,,,,,,,,,,,,,
204,Pouvoir,Bonsoir,nerve,servoirs,Leloir,,,,,,,,,,,,,,,,,,
205,Tues,socques,Lesurques,Turque,,,,,,,,,,,,,,,,,,,
206,place Gaillon,jura,Gaillon,Postillom,Postillon russe,tillon,Châtillon,,,,,,,,,,,,,,,,
207,Législative,Démocratie,mocratie,,,,,,,,,,,,,,,,,,,,
208,serrure,"Pr-
cédure !",Heures,l'Europe,l'Heure,,,,,,,,,,,,,,,,,,
209,bour de basque,Muet,T3,vesque,Parquet,bosquet,Bouquet-,,,,,,,,,,,,,,,,
210,Pour-,Cour,Oury,Sourdun,Véfour,,,,,,,,,,,,,,,,,,
211,Esséniens,Amiens,Maliens,Deviens,Wien,égyptiens,Tiens,,,,,,,,,,,,,,,,
212,Devise,tamise,Venise,Père-Lachaise,Ise,,,,,,,,,,,,,,,,,,
213,Esthétique,Lique,"damas rouge
Quatre domestiques",Belgique,Quoique,,,,,,,,,,,,,,,,,,
214,Cité,Autorité,Egalité,Unité,,,,,,,,,,,,,,,,,,,
215,aCcäs,Bac,Bacchante,,,,,,,,,,,,,,,,,,,,
216,Busançais,François,Comédie-Française,Théâtre-Français,Miyança,Française,Français,,,,,,,,,,,,,,,,
217,Mois,Aulnay,Gauloises,Loin,".——.

LL",Æ,Larsillois,Gaulois,,,,,,,,,,,,,,,
218,Poncif,le japon,Japon,,,,,,,,,,,,,,,,,,,,
219,R,Rs,,,,,,,,,,,,,,,,,,,,,
220,La Polonaise,etâle,Polonais,Polonaise,,,,,,,,,,,,,,,,,,,
221,Æpouvaient,Misaient,Corroboraient,Mécoupaient,Orientaux,Soient,Laient,,,,,,,,,,,,,,,,
222,Coutait,coucou,Foute,Écoutez,Ecoutez,,,,,,,,,,,,,,,,,,
223,"Mais-
Mature",Turcs,turbotière,Préfecture de police,Le Ture,O,Ture,,,,,,,,,,,,,,,,
224,Sens,Rubens,Vive,fensive,,,,,,,,,,,,,,,,,,,
225,Deslauriers,Dulaure,Deslauri,,,,,,,,,,,,,,,,,,,,
226,bal des Tuileries,Tuile-,Tuileries,dôme des Tuileries,jardin des Tuileries,ux Tuileries,,,,,,,,,,,,,,,,,
227,senti=-,LU,Présentait,Présentez,,,,,,,,,,,,,,,,,,,
228,Île,Îles prunelles ardentes,Écoles,bles,iglesia,Îles,,,,,,,,,,,,,,,,,
229,Venez,Genève,Benedicite,Geneviève,,,,,,,,,,,,,,,,,,,
230,fJ,pierre de Notre-Dame,"Notre-Dame de
lorette",Samedi,rue Notre-,Notre-,Notre-Dame,,,,,,,,,,,,,,,,
231,damas,Banque,Maman,Salamanque,,,,,,,,,,,,,,,,,,,
232,Elysées,MU,Champs-,"Champs-
Elysées",Lys,Champs-Élysées,,,,,,,,,,,,,,,,,
233,Gorge-au-Loup,Au- P,au-,au-#,"au-

F

b",Au-,,,,,,,,,,,,,,,,,
234,Dess,"Dessau-

triers",Dessau-,,,,,,,,,,,,,,,,,,,,
