cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23
34,J‘en,m‘en,l‘en,G’,j‘en conviens,s‘en,d‘en,‘eﬂmü'ﬁ'ﬁ‘ﬁﬁW‘etÿæïï‘î,j‘en,Le l‘en,t‘en,,,,,,,,,,,,,
35,ger,Berger,u,GEFFI‘\OY,Ger,Siège,ge,,,,,,,,,,,,,,,,,
36,sulÏvoquée,Voulez,Où voulez,Voulu,moule—,,,,,,,,,,,,,,,,,,,
37,échan—,Michaelébé,tableaupchangea,cap du Chat,marchan—,s’échapper,,,,,,,,,,,,,,,,,,
38,"r,_. 4lA_'T._'A",._.,ﬁr_.,._._T._.e,Î_._,._._._,«.__.A,ZN,"_.,",,,,,,,,,,,,,,,
39,Vois-tu,Douterais-tu,as-tu soif,Es-tu fou,12,Crois-tu,,,,,,,,,,,,,,,,,,
40,Jens,Gens,Agence,Penserez,Ë,Bergen,miens,genouæ,gens‘dont,,,,,,,,,,,,,,,
41,Reproduction,ænﬂa««,prodi—,reprit’,Reprmlucﬁon în!credit_,Ropmdnclion,Gation,,,,,,,,,,,,,,,,,
42,Aigle—Volant,f,Aigle-Volant,Aigle-Volant roula,Aigle,L’Aigle-Volume,ÏœWÀ,L’Aigle-V,Volant,,,,,,,,,,,,,,,
43,Arrivés,Arrivés la,ii _ Arrivés,Ar1ivées,æ,,,,,,,,,,,,,,,,,,,
44,"peaux—
Lw",Peaux,Peaux-Bonzes,Peau-,Bordeaux,Peaux—,,,,,,,,,,,,,,,,,,
45,"ViÎî""Î,—À:‘l","î""Ï",v‘:‘sﬁ,,,,,,,,,,,,,,,,,,,,,
46,justiﬁer,justiﬁe1,,,,,,,,,,,,,,,,,,,,,,
47,disparu—,Paris,Loris,par-,Ê-1,Parpillé,parcourir,Martyrisez,Parvenu,ÎV,Sri,Parisien,Parlez,,,,,,,,,,,
48,u«tgvæ,JVÆﬁ,,,,,,,,,,,,,,,,,,,,,,
49,chaude—,Gaudebec,haussa,"chaumiè1 e.

Il tenait un fusil",,,,,,,,,,,,,,,,,,,,
50,—— Nou,—— Non,q—,Grognon,.ﬂ,,,,,,,,,,,,,,,,,,,
51,._r';\,._,._—,1'tf,._(ëL.çæyîg,"._,",._I,,,,,,,,,,,,,,,,,
52,baron de Grigny,Grigny,Gr1gny,Carignan,Grigny qu’,,,,,,,,,,,,,,,,,,,
53,servi—,observ—,observa—,conserv—,Observez,,,,,,,,,,,,,,,,,,,
54,Accidenté,Cc,accol—,Occident,,,,,,,,,,,,,,,,,,,,
55,Kouba-,Kouba,Kouba-Haudé,Koufa,Kouba-Handé,,,,,,,,,,,,,,,,,,,
56,LW,Lw,,,,,,,,,,,,,,,,,,,,,,
57,JàJ,faute n’,Faut,haute1,4 N’,,,,,,,,,,,,,,,,,,,
58,.æs.ma*.,.*.i,æ.mâg,Axl.æœ,,,,,,,,,,,,,,,,,,,,
59,Br1lé,bois—,Bois—Brûlé,Bois—'.l‘rac‘y,"de
Bois—Brûlé",le bois—brûlé,,,,,,,,,,,,,,,,,,
60,_,,,,,,,,,,,,,,,,,,,,,,,
61,s*assurer,Rassurez,Opossum,s‘essuy',rassur.er,,,,,,,,,,,,,,,,,,,
62,quatre—vingts,"quatre—

Ïvingts",quatre—,tmatre-vingts,,,,,,,,,,,,,,,,,,,,
63,c’,——C’,—— C’,C’,,,,,,,,,,,,,,,,,,,,
64,àËa-Ï,-Ï,,,,,,,,,,,,,,,,,,,,,,
