cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29
163,Corroboraient,Bordeaux,Bordelaise,delan,Bordes,Bordelais,,,,,,,,,,,,,,,,,,,,,,,,
164,pont de la Boucherie,rue de la Paix,seuil de la lorette,colonne de Juillet,statue de la Liberté,"la der-f
nière lettre du mot",PE dé be Sont!,bêtise de la Ligne,hôtel de la rue Tronchet,porte de l'Alhambra,rue de la Ferme,rue Tronchet,Art et de la Nature !,rue de la Harpe,rue de la Ferme et de la rue Tronchet,ferme de Presles,ete er N,,,,,,,,,,,,,
165,retou,Touw,outle,Toutle,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Mlle Marthe,Parthénon,Barthélemy,Marthe,Mile Marthe,,,,,,,,,,,,,,,,,,,,,,,,,
167,Bourgogne,Luxembourg,gorge-de-pigeon,Bourse,turge,Hapsbourg,"Luxem-
“ourg",Peaux-Rouges,de Bourges,Bourbonnais,Bourges,,,,,,,,,,,,,,,,,,,
168,Lplus,causér,saus,Muséum,jusqu’,Vous,us,Vénus,,,,,,,,,,,,,,,,,,,,,,
169,Mevise,SE,Gauloises,tamise,Venise,Père-Lachaise,Ise,,,,,,,,,,,,,,,,,,,,,,,
170,Cavaignat,Iéna,Vational,Ile Vatnaz,La Vatnaz,Mile Vatnaz,Vatnaz,,,,,,,,,,,,,,,,,,,,,,,
171,François,Comédie-Française,Théâtre-Français,Miyança,Buzançais,Saint-François,Havrais,Française,"Révo-
lution française",Français,,,,,,,,,,,,,,,,,,,,
172,Lreuls,l’'examinateur,l'Europe,Eure,l'Eure,,,,,,,,,,,,,,,,,,,,,,,,,
173,Censure,serrure,Aure,Turcs,bor augure,Dulaure,turbotière,Suriret,Bture,"Magis-
Mature",Le Ture,Ture,Turque,,,,,,,,,,,,,,,,,
174,Deslau-,Deslauriers,Deslauri,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,vêque de Paris,Paradis,le Pays,rue Paradis,Préfecture de police,RD  Pe 2,Rue Paradis,rue de Paradis,,,,,,,,,,,,,,,,,,,,,,
176,Île,Naples,Îles prunelles ardentes,Écoles,bles,Aumales,iglesia,Îles,,,,,,,,,,,,,,,,,,,,,,
177,reveni,Villeneuve-l'Archevèque,Genève,Sainte-Geneviève,Geneviève,,,,,,,,,,,,,,,,,,,,,,,,,
178,Notre-Dame-des-Victoires,pierre de Notre-Dame,"Notre-Dame de
orette",rue Notre-,Notre-,Notre-Dame,,,,,,,,,,,,,,,,,,,,,,,,
179,Esséniens,Amiens,Laliens,Deviens,Tiensh,Sens,Démocratie,irrévencieux,Mience,Wien,Vénitienne,Æ,égyptiens,Tiens,,,,,,,,,,,,,,,,
180,Arnoux,Hnoux,noux,Luoux,Pidoux,Joux,Ledoux,Noux,,,,,,,,,,,,,,,,,,,,,,
181,Drouillard,Jui,Douis,Moulin-Rouge,Oui,,,,,,,,,,,,,,,,,,,,,,,,,
182,Etranger !,Mar terre,Grange-Batelière,gleterre,Angleterre,,,,,,,,,,,,,,,,,,,,,,,,,
183,We,ask,Vas-1,damas,Las,Mazas,hasta,O,Mpas,As,,,,,,,,,,,,,,,,,,,,
