cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19
254.0,Peur,peun,,,,,,,,,,,,,,,,,,
255.0,Belleville,llI0tel-de-Ville,"rue
Iauteville","ruo
Iauteville",Grmonville,Fouquier-Tinville,Surville,Seville,Vaudeville,Villenauxe,Gremonville,,,,,,,,,
256.0,filoselle,Fortelle,Celles,lquelle,lElle,OÙ Est-elle,Belle-,Bellevue,ellE,Elloe,ellet,ElLe,Ellemontadedans,celle-lh,"E
- BElle-même",Bagatelle,rue Bellefond,qulelle,perpctuelle,Ellel
257.0,Mlle Ioque,Iyve,ceudie e Ioe,le Iyve,,,,,,,,,,,,,,,,
258.0,juste-italie,Italienne,d'Italie,italie,l'Italie,ITALIE,Ita-,Chevalier noyen age,Alieu,Italie,Italiens,,,,,,,,,
259.0,nU C,Commerce,Almanach du Commerce,,,,,,,,,,,,,,,,,
260.0,DUcATI0N,L'EDUCA,lesL' EDUCATI0N,L'EDUcATI0N,EDUcATI0N,EDUCA,EnDUCATI0N,EnDUcATI0N,,,,,,,,,,,,
261.0,accouds,accoudes,,,,,,,,,,,,,,,,,,
262.0,AIin,Iinit,Iin,,,,,,,,,,,,,,,,,
263.0,neme,Le Gouvernement,Irtement,Gouvernement,Gouvernemenl,Certainementl,gouvernementl,Doucement,Gouvernemer,,,,,,,,,,,
264.0,Derrire,liiIrencc,thiire,derriire,,,,,,,,,,,,,,,,
265.0,la piece,piece,,,,,,,,,,,,,,,,,,
266.0,Nonancourt,Flacourt,fer n. Nonancourt,,,,,,,,,,,,,,,,,
267.0,Notre-Dame-des-Victoires,"rue Notre-
Dame-des-Victoires",Dame-des-Victoires,,,,,,,,,,,,,,,,,
268.0,Luxem-,Luxembourg,Luxembour,,,,,,,,,,,,,,,,,
269.0,fiamille,volaille,IIl,Milles,Iille,Vazeille,iille,,,,,,,,,,,,,
270.0,Cautherine,urracher,cheri,"Pe-
cherie",Cher,,,,,,,,,,,,,,,
271.0,Chambord,Champ-de-Mars,Chambrion,Cham,Champagne,Mr6chaux,Champs,,,,,,,,,,,,,
272.0,Ablon,qulon,sulon,,,,,,,,,,,,,,,,,
273.0,linie,Mlinistk,Ministre,,,,,,,,,,,,,,,,,
274.0,repondre,Londres,epndre,rpondre,Flandres,prepondrance,,,,,,,,,,,,,,
275.0,Rosa-,Rosanetlte,llosanetle,osanette,kRosannette,Rosanctte,Iosanette,Rosanette,Rosannette,llosanette,Ilosanette,kosanelte,Rosanetle,llosaneltte,Hosanette,,,,,
276.0,laule,pau,paule,,,,,,,,,,,,,,,,,
277.0,rez-de-chaussee,Caussidiere,hauss6e,haussantles,,,,,,,,,,,,,,,,
278.0,opéra,Opéra,l1Opéra,,,,,,,,,,,,,,,,,
279.0,Miais,MIais,Iaisant,,,,,,,,,,,,,,,,,
