cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40
105,Torre est tuito,elha Torre,"Torre albar-
ran",Torre conlesso,Iorre,Torre,Ioreto,Torel,Torre cra ois popularl,"Noolla,-a Torre","Torre
cra",Torre sen-,Torrel lor fi,Torrel,Torre-,Taorre,Torre i,Torre...,Fleitores,"Torre
Vagarosalntt",orre,Torre iratada,torre da Cmara,Iicillima Torre,Torre passira,tore albarra,Torre o vyelho,i Torre,,,,,,,,,,,,,
106,Circulo,Eleitoraes do Circulo,1N,Circulos,"ILcena-o
Cireulo",sulprc6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,sc puhlicass,Casco emtudecera,Cascol,Uasco,Casco,Cascu,Cascul,Ircsco,lusco fusco,dmasco,"liherdade d
Cnasco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,"Mlana Joio,.mano Joiol",Iois,loio,Croio,Ioi,Toios,Joio Brandio,Ioiro,Joio,Joio lIl,Coio,Ioio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Alhoius,Julho,orgnlho,Olho,ulho,salho,volho,remergulhou,irubulho,Ulhe,uSDulhnr,Rocilho,ulherio,bilho,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,OII Lisboa,Lisbona,lisboa,"ksta t
lLisboa",ILisboa,"lisboa
llces","Lisboal
Nem",dc Lisboa,S,Lisboal,ci lisboa,lLisboa,Iisboa,l.isboa,Lisloa,Lisboa,Lisboa...,,,,,,,,,,,,,,,,,,,,,,,,
111,V0s0s,I0s,I0,I02,I0ss,II0s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Aguiar,Iagua,tGuia,Guiao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,"lesconflado das
janellas decrepitas",luas janellas,Icela,Cellas,Vellas,"us chi-
mellas",ellce,Cellas l ull,rua ds Yoellas,Chellas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,"apa-
vorira",Inleiramente,inteir,Prioiramente quiz,inteirira,luy carpinteiro,contrira n,Comprira,Ir,Inquiriei,uuteiru,Inlependete d'llveira,exclainira,"teriria
raeinha",,,,,,,,,,,,,,,,,,,,,,,,,,,
115,"Admi-
nistradr",Administracao,Administrador,Aministrador,Ainistrador,Adinislrao,"hraco do Admi-
nistrador",Aministrador do Concelho,lministrador,Administradr,"Administralon
resutiu a sua idda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,tcu,vicu,YtCZ,tcuruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,sel,"sel
tsse",Seplelo,Sev-,el,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Hayio,ayio,Yigny,Bayaiot,Buyio,"Lopo de
lBayio",llayio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Comedla,romantico,I(6,comerm0s,comn cognae,Comn,comn,"paro
comn",Commo-,Comno,comphend,Comt,com-,Com-,comao,tcomo,"comn roiuantic0
garho",,,,,,,,,,,,,,,,,,,,,,,,
