cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19
275.0,entisicando,Fisica,"muisica clas-
sica",Potis,"cg
isi",tisica,,,,,,,,,,,,,,
276.0,Corpus-Christi,tristezal,firmezal,,,,,,,,,,,,,,,,,
277.0,legalmentc,Colegas,colegal,colera,,,,,,,,,,,,,,,,
278.0,Senhora da Incarnacao,Encarnacao,Senhora da IEncarnacao,Senhora da Alegria,,,,,,,,,,,,,,,,
279.0,Ameliazita,ceiazinha,Ameliazinhal,Melinhal,Ameliazinha la,Ameliazinha-,pe da Ameliazinha,Ameliazinha,,,,,,,,,,,,
280.0,exageracOes,difamacoes,exageracoes,,,,,,,,,,,,,,,,,
281.0,estrepito,jardim da Estrela,Estrela,Estremoz,,,,,,,,,,,,,,,,
282.0,cabo da faca,cabo dum,cabo do Ultramontanismol,,,,,,,,,,,,,,,,,
283.0,bom Ferraio,Ferrao-,Ferrao,Ferraio,"bom
Ferraio",,,,,,,,,,,,,,,
284.0,maos,romaos oue,Oue,Roma,,,,,,,,,,,,,,,,
285.0,lepras,Juras,embura,tonturas,Juro,,,,,,,,,,,,,,,
286.0,Jerusalem,Lem-,elel,plebelJesus,Belem,,,,,,,,,,,,,,,
287.0,Gouveia,Leia,Leia S. Tomas,Leia Gavantus,Judeia,Baleia,,,,,,,,,,,,,,
288.0,burrol,erdia,balburdia,Furdo,,,,,,,,,,,,,,,,
289.0,Algarve,Eclogas,Nlgas,Juilgava,ago gasto,,,,,,,,,,,,,,,
290.0,Pombal,Abalou,Heliogabalo,,,,,,,,,,,,,,,,,
291.0,souhe,T9Sou,,,,,,,,,,,,,,,,,,
292.0,dir-lim,"des-
pDir-se",,,,,,,,,,,,,,,,,,
293.0,cabo dos guarda-chuvas,"ponta dc
guarda-chuva",Chut,guardal,,,,,,,,,,,,,,,,
294.0,Pataratas do Saldanha,Saldanha.-,Saldanhinha,,,,,,,,,,,,,,,,,
295.0,Papnl,"mao
papuda",mao papuda,,,,,,,,,,,,,,,,,
296.0,pirozinho,parocozinho,Joaol,Sozinha,Drocozinho,Gansozinhos,vidraca da cozinha,Joaozinho,,,,,,,,,,,,
297.0,tonas,Imnonotonas,,,,,,,,,,,,,,,,,,
298.0,pstl Eh lal,pstl pstl,Pst,,,,,,,,,,,,,,,,,
299.0,UCTIITEU,Tito-Liio,IIt,pcito,Iito,,,,,,,,,,,,,,,
300.0,Alameda Velha,alameda,Alameda,,,,,,,,,,,,,,,,,
301.0,Taa YlonJa ise,Agonia,Polonia,Santa Apolonia,Depols,,,,,,,,,,,,,,,
302.0,dim,Pago,jardim do Pago,Jardim de Lazaro,,,,,,,,,,,,,,,,
303.0,Atraves,Atraiu-a,patraio,,,,,,,,,,,,,,,,,
304.0,Dois,Dois M-,Dois Mundos,,,,,,,,,,,,,,,,,
305.0,deio,Deixe,Deixem,,,,,,,,,,,,,,,,,
