cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14
230,Rodolhe,rpelaient  Rodolpheles,Rololphe,Rodol-,Rodolpheles,,,,,,,,,,
231,commerco,lesac aux commeragoes,Lh,la somme,Iemme,commeragoes,pomms,somme,,,,,,,
232,daecord,corpe,Corso,trsos,le Corso,,,,,,,,,,
233,Savarus,SAYARU,Svarus,,,,,,,,,,,,
234,esistanee e,esistanee,,,,,,,,,,,,,
235,i ii,F iiCGiG,laye,Iir,iorsl iir,A iiraia,,,,,,,,,
236,Sentez,argenterio do tamille,presentil,Yarese,presenter,,,,,,,,,,
237,rieuse,Frnse,Ansbac,danseuse,,,,,,,,,,,
238,sajeu-,lac Majeur,Lae Majeur,scne,,,,,,,,,,,
239,I',deix,Deia,,,,,,,,,,,,
240,ntel,Montemnisselle,lquelle,laielle,nelle,Vauchelles,Iaqellela,choef da Son Ecellence,Telle,laguelle,,,,,
241,aix,Gi'i'ii,,,,,,,,,,,,,
242,toutola soeiete,Societe,loeis,soeiete,,,,,,,,,,,
243,maltraitee,Terme,hesiter,haiter,,,,,,,,,,,
244,vued',Revue,,,,,,,,,,,,,
245,ggee,eigge,g.gge,,,,,,,,,,,,
246,Lindulgence,Str,lIndustrie,,,,,,,,,,,,
247,Barbe-Bleue,Be-,be-,,,,,,,,,,,,
248,thelres,fenelre d sa hamhre,.m',peul-elre,prelre,,,,,,,,,,
249,dillicilo,Clichy,felicite,sicien,Felicien Vernou,Vernou,,,,,,,,,
250,Pais,La Paia,Paia,,,,,,,,,,,,
251,Humilie,ne-,Emilio,Bmilio,familiarite,,,,,,,,,,
252,Neue-es-,rue Neuve-des-,gre,Neuve,Neuve-des-Ma-,,,,,,,,,,
253,Quels,i nrue,Bruel,,,,,,,,,,,,
254,nimosamnis,mystere,iruiste,contrister,Ministere,,,,,,,,,,
255,Soulas,tourientc,toul,surloul,ge,vroulut,- Retournez,Toul,,,,,,,
256,gaee,lix,Felixn'atait pasencore,Felix,,,,,,,,,,,
257,- Pourqnoi,atGG7-lE:2,Tenez-vous-le pour dit,,,,,,,,,,,,
258,Amede,Medee,E,Amedee de Soulas,Amedee,,,,,,,,,,
259,cieuee,Ma-,subjugues,pingeuieues,ieuesso,,,,,,,,,,
260,Naufrages,Frauce,efraya,,,,,,,,,,,,
261,nii di a inpenare,Tris-,] - A duoi,credis,A dis-sept,,,,,,,,,,
262,"ana-
 ysitl",dranaes,,,,,,,,,,,,,
263,voyent,suffages,craoye,Moyen-Age,,,,,,,,,,,
264,pordus,apon,porte du boudoir,T'aport,,,,,,,,,,,
265,Utrecht,turna pouir entreir,Ghapitre,deentree,trehte-trois ans,Astree,maftre,,,,,,,,
266,saveir,CE1a,Avez,Savez,,,,,,,,,,,
267,Solas,irola,Lopold,Leopola,,,,,,,,,,,
268,gggegg,geg,Egg,geggh,,,,,,,,,,,
269,Nucingon,Nuciogen,cingen,Nucinge,Nucingen,,,,,,,,,,
270,poliuique,Belgirate,Belzebulh,de Belgique,Belgique,,,,,,,,,,
271,ridee,noblo,los ebz,noblos idees,,,,,,,,,,,
272,occupes,alpes,Alpes,,,,,,,,,,,,
273,chiambre des pairs,Noembre 83,cChambrot,Chambre,,,,,,,,,,,
274,colere,gsle,leslevres,leresle,,,,,,,,,,,
275,tortune,tunel,ieune,forlune,Lune,brune,,,,,,,,,
